Entity,Code,Year,"Literacy rate, adult total (% of people ages 15 and above)"
Afghanistan,AFG,1979,18.15768
Afghanistan,AFG,2011,31.44885
Afghanistan,AFG,2021,37.26604
Albania,ALB,2001,98.71298
Albania,ALB,2008,95.93864
Albania,ALB,2011,96.8453
Albania,ALB,2012,97.24697
Albania,ALB,2018,98.14115
Albania,ALB,2021,98.45
Algeria,DZA,1987,49.63088
Algeria,DZA,2002,69.8735
Algeria,DZA,2006,72.64868
Algeria,DZA,2008,75.13605
Algeria,DZA,2018,81.40784
American Samoa,ASM,1980,97.34416
Angola,AGO,2001,67.40542
Angola,AGO,2014,66.03011
Angola,AGO,2021,72.28
Antigua and Barbuda,ATG,2001,98.95
Antigua and Barbuda,ATG,2011,98.95
Antigua and Barbuda,ATG,2015,98.95
Argentina,ARG,1980,93.91286
Argentina,ARG,1991,96.04072
Argentina,ARG,2001,97.19331
Argentina,ARG,2006,98.6108
Argentina,ARG,2009,98.98342
Argentina,ARG,2010,98.95497
Argentina,ARG,2011,99.10833
Argentina,ARG,2012,99.10523
Argentina,ARG,2013,99.12195
Argentina,ARG,2014,98.99389
Argentina,ARG,2015,99.17996
Argentina,ARG,2016,99.12501
Argentina,ARG,2018,99.00387
Armenia,ARM,1989,98.75196
Armenia,ARM,2001,99.40016
Armenia,ARM,2011,99.74441
Armenia,ARM,2016,99.74441
Armenia,ARM,2017,99.73607
Armenia,ARM,2020,99.78861
Aruba,ABW,2000,97.29125
Aruba,ABW,2010,96.82264
Aruba,ABW,2018,97.80742
Aruba,ABW,2020,97.99
Azerbaijan,AZE,1999,98.7918
Azerbaijan,AZE,2007,99.59319
Azerbaijan,AZE,2009,99.75984
Azerbaijan,AZE,2010,99.77114
Azerbaijan,AZE,2011,99.77863
Azerbaijan,AZE,2012,99.77577
Azerbaijan,AZE,2013,99.78936
Azerbaijan,AZE,2014,99.78899
Azerbaijan,AZE,2015,99.78806
Azerbaijan,AZE,2016,99.79006
Azerbaijan,AZE,2017,99.79123
Azerbaijan,AZE,2019,99.79598
Bahrain,BHR,1981,69.75351
Bahrain,BHR,1991,84.01383
Bahrain,BHR,2001,86.54874
Bahrain,BHR,2010,90.9774
Bahrain,BHR,2011,92.3
Bangladesh,BGD,1981,29.22723
Bangladesh,BGD,1991,35.3193
Bangladesh,BGD,2001,47.4855
Bangladesh,BGD,2007,46.6636
Bangladesh,BGD,2011,58.76918
Bangladesh,BGD,2012,57.86075
Bangladesh,BGD,2013,61.01554
Bangladesh,BGD,2014,61.0933
Bangladesh,BGD,2015,65.13733
Bangladesh,BGD,2016,72.75872
Bangladesh,BGD,2017,72.89297
Bangladesh,BGD,2018,73.9122
Bangladesh,BGD,2019,74.68446
Bangladesh,BGD,2020,74.9089
Barbados,BRB,1970,99.26808
Barbados,BRB,1980,99.5
Barbados,BRB,1984,99.6
Barbados,BRB,1994,99.6
Barbados,BRB,2004,99.6
Barbados,BRB,2014,99.6
Belarus,BLR,1989,97.88337
Belarus,BLR,1999,99.59073
Belarus,BLR,2009,99.61706
Belarus,BLR,2019,99.874
Belize,BLZ,1991,70.29842
Belize,BLZ,2000,76.90298
Belize,BLZ,2001,80.9
Benin,BEN,1979,16.48273
Benin,BEN,1992,27.24517
Benin,BEN,2002,34.65785
Benin,BEN,2006,28.70211
Benin,BEN,2012,32.94882
Benin,BEN,2018,42.3624
Benin,BEN,2021,45.84
Bhutan,BTN,2005,52.81469
Bhutan,BTN,2012,55.31756
Bhutan,BTN,2017,66.56115
Bhutan,BTN,2021,70.95
Bolivia,BOL,1976,63.20815
Bolivia,BOL,1992,79.99177
Bolivia,BOL,2001,86.72367
Bolivia,BOL,2007,90.74347
Bolivia,BOL,2008,90.69811
Bolivia,BOL,2009,91.16783
Bolivia,BOL,2011,92.22615
Bolivia,BOL,2012,94.46057
Bolivia,BOL,2015,92.45508
Bolivia,BOL,2020,93.85256
Bosnia and Herzegovina,BIH,1991,89.06359
Bosnia and Herzegovina,BIH,2000,96.6631
Bosnia and Herzegovina,BIH,2011,98.14204
Bosnia and Herzegovina,BIH,2013,96.99177
Bosnia and Herzegovina,BIH,2021,98.1
Botswana,BWA,1991,68.58091
Botswana,BWA,2003,81.18871
Botswana,BWA,2013,86.82318
Brazil,BRA,1980,74.58673
Brazil,BRA,2000,86.36788
Brazil,BRA,2004,88.61624
Brazil,BRA,2006,89.61523
Brazil,BRA,2007,90.00937
Brazil,BRA,2008,90.03662
Brazil,BRA,2009,90.29821
Brazil,BRA,2010,90.37918
Brazil,BRA,2011,91.41124
Brazil,BRA,2012,91.33785
Brazil,BRA,2013,91.48424
Brazil,BRA,2014,91.72943
Brazil,BRA,2015,92.0479
Brazil,BRA,2016,92.80844
Brazil,BRA,2017,93.07582
Brazil,BRA,2018,93.2275
Brazil,BRA,2021,94.3
Brunei,BRN,1981,77.7355
Brunei,BRN,1991,87.80418
Brunei,BRN,2001,92.67113
Brunei,BRN,2011,96.08556
Brunei,BRN,2018,97.21411
Brunei,BRN,2021,97.59
Bulgaria,BGR,2001,98.20356
Bulgaria,BGR,2011,98.35245
Bulgaria,BGR,2021,98.42
Burkina Faso,BFA,1975,8.83023
Burkina Faso,BFA,1991,13.56923
Burkina Faso,BFA,1996,12.84817
Burkina Faso,BFA,2003,21.82292
Burkina Faso,BFA,2005,23.5222
Burkina Faso,BFA,2006,22.47258
Burkina Faso,BFA,2007,28.29366
Burkina Faso,BFA,2014,34.5994
Burkina Faso,BFA,2018,39.34585
Burkina Faso,BFA,2021,46.04
Burundi,BDI,1979,22.50855
Burundi,BDI,1990,37.38472
Burundi,BDI,2000,59.30362
Burundi,BDI,2008,48.08406
Burundi,BDI,2014,61.51349
Burundi,BDI,2017,68.37533
Burundi,BDI,2021,74.71
Cambodia,KHM,1998,67.33503
Cambodia,KHM,2004,73.60995
Cambodia,KHM,2008,76.87129
Cambodia,KHM,2009,76.13796
Cambodia,KHM,2014,78.05509
Cambodia,KHM,2015,80.52649
Cambodia,KHM,2021,83.91
Cameroon,CMR,1976,41.21621
Cameroon,CMR,2000,68.40916
Cameroon,CMR,2007,70.67994
Cameroon,CMR,2010,71.29051
Cameroon,CMR,2018,77.07104
Cameroon,CMR,2020,78.23
Cape Verde,CPV,1990,62.79686
Cape Verde,CPV,2000,76.11044
Cape Verde,CPV,2012,85.32779
Cape Verde,CPV,2015,86.79029
Cape Verde,CPV,2021,90.78
Cayman Islands,CYM,2007,98.86782
Cayman Islands,CYM,2017,98.86782
Cayman Islands,CYM,2021,98.86782
Central African Republic,CAF,1975,18.23617
Central African Republic,CAF,1988,33.62442
Central African Republic,CAF,2000,50.64517
Central African Republic,CAF,2010,36.75261
Central African Republic,CAF,2018,37.39582
Central African Republic,CAF,2020,37.49
Chad,TCD,1993,10.89465
Chad,TCD,2000,25.65421
Chad,TCD,2004,28.38143
Chad,TCD,2015,26.00299
Chad,TCD,2016,22.31155
Chad,TCD,2021,26.76
Chile,CHL,1982,91.1284
Chile,CHL,1992,94.29114
Chile,CHL,2002,95.71662
Chile,CHL,2008,97.72245
Chile,CHL,2009,97.66423
Chile,CHL,2011,96.70301
Chile,CHL,2013,96.26706
Chile,CHL,2015,96.87413
Chile,CHL,2017,96.40228
Chile,CHL,2021,97.04
China,CHN,1982,65.50509
China,CHN,1990,77.78506
China,CHN,2000,90.92021
China,CHN,2010,95.12448
China,CHN,2018,96.84089
China,CHN,2020,97.15
Colombia,COL,1993,91.06309
Colombia,COL,1996,91.20716
Colombia,COL,2004,92.80378
Colombia,COL,2005,92.84866
Colombia,COL,2006,92.29968
Colombia,COL,2007,92.65179
Colombia,COL,2008,93.37818
Colombia,COL,2009,93.24469
Colombia,COL,2010,93.37233
Colombia,COL,2011,93.58053
Colombia,COL,2014,94.18625
Colombia,COL,2015,94.24505
Colombia,COL,2016,94.65385
Colombia,COL,2018,95.09251
Colombia,COL,2019,95.24927
Colombia,COL,2020,95.63633
Comoros,COM,1980,47.91923
Comoros,COM,2000,68.48923
Comoros,COM,2012,49.19614
Comoros,COM,2018,58.81702
Comoros,COM,2021,61.99
Congo,COG,1984,59.61912
Congo,COG,2005,76.11479
Congo,COG,2011,79.31117
Congo,COG,2018,80.29876
Congo,COG,2021,80.61
Costa Rica,CRI,1984,92.62904
Costa Rica,CRI,2000,94.86819
Costa Rica,CRI,2011,97.40658
Costa Rica,CRI,2018,97.86379
Costa Rica,CRI,2021,98.04
Cote d'Ivoire,CIV,1988,34.13928
Cote d'Ivoire,CIV,1998,36.35024
Cote d'Ivoire,CIV,2000,48.74076
Cote d'Ivoire,CIV,2012,40.98163
Cote d'Ivoire,CIV,2014,43.90842
Cote d'Ivoire,CIV,2019,89.89342
Croatia,HRV,1991,96.70155
Croatia,HRV,2001,98.14668
Croatia,HRV,2011,99.12536
Croatia,HRV,2021,99.45
Cuba,CUB,1981,97.84665
Cuba,CUB,2002,99.79907
Cuba,CUB,2012,99.75253
Cuba,CUB,2021,99.67311
Cyprus,CYP,1992,94.36247
Cyprus,CYP,2001,96.80363
Cyprus,CYP,2011,98.67843
Cyprus,CYP,2021,99.36
Democratic Republic of Congo,COD,2001,67.17299
Democratic Republic of Congo,COD,2007,61.20555
Democratic Republic of Congo,COD,2012,75.01719
Democratic Republic of Congo,COD,2016,77.04268
Democratic Republic of Congo,COD,2021,80.02
Dominican Republic,DOM,1981,73.06457
Dominican Republic,DOM,2002,86.99647
Dominican Republic,DOM,2007,88.24446
Dominican Republic,DOM,2010,89.53873
Dominican Republic,DOM,2011,90.10638
Dominican Republic,DOM,2012,90.15518
Dominican Republic,DOM,2013,90.85815
Dominican Republic,DOM,2014,91.76376
Dominican Republic,DOM,2015,91.99121
Dominican Republic,DOM,2016,93.77846
Dominican Republic,DOM,2021,95.17
East Asia and Pacific (WB),,1976,65.94049
East Asia and Pacific (WB),,1977,66.13179
East Asia and Pacific (WB),,1978,67.14675
East Asia and Pacific (WB),,1979,68.14903
East Asia and Pacific (WB),,1980,68.64389
East Asia and Pacific (WB),,1981,70.21549
East Asia and Pacific (WB),,1982,70.95321
East Asia and Pacific (WB),,1983,72.12058
East Asia and Pacific (WB),,1984,73.06336
East Asia and Pacific (WB),,1985,73.96934
East Asia and Pacific (WB),,1986,74.76787
East Asia and Pacific (WB),,1987,75.94237
East Asia and Pacific (WB),,1988,79.85475
East Asia and Pacific (WB),,1989,80.50332
East Asia and Pacific (WB),,1990,80.41292
East Asia and Pacific (WB),,1991,81.63425
East Asia and Pacific (WB),,1992,82.16196
East Asia and Pacific (WB),,1993,82.64431
East Asia and Pacific (WB),,1994,83.21567
East Asia and Pacific (WB),,1995,83.77902
East Asia and Pacific (WB),,1996,84.27199
East Asia and Pacific (WB),,1997,89.32085
East Asia and Pacific (WB),,1998,89.66533
East Asia and Pacific (WB),,1999,90.00658
East Asia and Pacific (WB),,2000,90.29119
East Asia and Pacific (WB),,2001,90.70855
East Asia and Pacific (WB),,2002,91.08538
East Asia and Pacific (WB),,2003,91.46929
East Asia and Pacific (WB),,2004,91.79637
East Asia and Pacific (WB),,2005,92.17146
East Asia and Pacific (WB),,2006,92.51869
East Asia and Pacific (WB),,2007,93.5822
East Asia and Pacific (WB),,2008,93.84104
East Asia and Pacific (WB),,2009,94.15556
East Asia and Pacific (WB),,2010,94.1721
East Asia and Pacific (WB),,2011,93.97159
East Asia and Pacific (WB),,2012,94.20421
East Asia and Pacific (WB),,2013,94.30594
East Asia and Pacific (WB),,2014,94.79816
East Asia and Pacific (WB),,2015,95.01452
East Asia and Pacific (WB),,2016,95.17617
East Asia and Pacific (WB),,2017,95.36701
East Asia and Pacific (WB),,2018,95.43129
East Asia and Pacific (WB),,2019,95.86206
East Asia and Pacific (WB),,2020,96.01458
East Timor,TLS,2001,37.6
East Timor,TLS,2007,50.6
East Timor,TLS,2010,58.30898
East Timor,TLS,2018,68.06683
East Timor,TLS,2020,69.9
Ecuador,ECU,1982,83.55269
Ecuador,ECU,1990,88.29876
Ecuador,ECU,2001,90.98403
Ecuador,ECU,2007,92.09679
Ecuador,ECU,2008,92.39005
Ecuador,ECU,2009,92.24976
Ecuador,ECU,2010,91.85404
Ecuador,ECU,2011,91.5869
Ecuador,ECU,2012,92.06473
Ecuador,ECU,2013,93.29463
Ecuador,ECU,2014,94.22264
Ecuador,ECU,2015,94.45566
Ecuador,ECU,2016,94.35023
Ecuador,ECU,2017,92.82979
Ecuador,ECU,2020,93.6261
Ecuador,ECU,2021,94.48359
Egypt,EGY,1976,38.19676
Egypt,EGY,1986,44.42399
Egypt,EGY,1996,55.587
Egypt,EGY,2005,67.33187
Egypt,EGY,2006,66.36991
Egypt,EGY,2010,72.04785
Egypt,EGY,2012,73.86559
Egypt,EGY,2013,72.4425
Egypt,EGY,2017,71.16825
Egypt,EGY,2021,73.09
El Salvador,SLV,1992,74.14316
El Salvador,SLV,2006,83.55946
El Salvador,SLV,2007,82.02863
El Salvador,SLV,2008,83.9513
El Salvador,SLV,2009,84.10289
El Salvador,SLV,2010,84.49272
El Salvador,SLV,2011,85.49399
El Salvador,SLV,2013,86.76758
El Salvador,SLV,2015,87.96985
El Salvador,SLV,2016,88.14177
El Salvador,SLV,2017,88.48271
El Salvador,SLV,2018,89.0086
El Salvador,SLV,2019,89.13792
El Salvador,SLV,2020,89.98453
Equatorial Guinea,GNQ,2000,88.3083
Equatorial Guinea,GNQ,2010,94.37054
Eritrea,ERI,2002,52.51395
Eritrea,ERI,2008,64.66297
Eritrea,ERI,2018,76.57052
Estonia,EST,1989,99.72644
Estonia,EST,2000,99.7672
Estonia,EST,2011,99.88579
Estonia,EST,2021,99.87
Eswatini,SWZ,1976,55.32504
Eswatini,SWZ,1986,67.23938
Eswatini,SWZ,2000,81.6607
Eswatini,SWZ,2010,83.09829
Eswatini,SWZ,2018,88.41938
Eswatini,SWZ,2020,89.28
Ethiopia,ETH,1994,27.01135
Ethiopia,ETH,2004,35.9
Ethiopia,ETH,2005,29.82034
Ethiopia,ETH,2007,38.99598
Ethiopia,ETH,2017,51.77118
Europe and Central Asia (WB),,1992,95.32012
Europe and Central Asia (WB),,1993,95.48217
Europe and Central Asia (WB),,1994,95.62532
Europe and Central Asia (WB),,1995,95.76832
Europe and Central Asia (WB),,1996,95.93378
Europe and Central Asia (WB),,1997,96.06181
Europe and Central Asia (WB),,1998,96.21617
Europe and Central Asia (WB),,1999,96.33313
Europe and Central Asia (WB),,2000,96.39608
Europe and Central Asia (WB),,2001,96.49009
Europe and Central Asia (WB),,2002,96.67602
Europe and Central Asia (WB),,2003,96.76986
Europe and Central Asia (WB),,2004,96.90087
Europe and Central Asia (WB),,2005,97.06187
Europe and Central Asia (WB),,2006,97.05441
Europe and Central Asia (WB),,2007,97.12386
Europe and Central Asia (WB),,2008,97.15885
Europe and Central Asia (WB),,2009,97.40518
Europe and Central Asia (WB),,2010,97.56701
Europe and Central Asia (WB),,2011,97.70388
Europe and Central Asia (WB),,2012,97.8054
Europe and Central Asia (WB),,2013,97.87166
Europe and Central Asia (WB),,2014,97.91473
Europe and Central Asia (WB),,2015,97.95932
Europe and Central Asia (WB),,2016,98.0475
Europe and Central Asia (WB),,2017,98.09269
Europe and Central Asia (WB),,2018,98.14884
Europe and Central Asia (WB),,2019,98.20648
Europe and Central Asia (WB),,2020,98.25229
Gabon,GAB,1993,72.23367
Gabon,GAB,2012,82.2838
Gabon,GAB,2018,84.66716
Gabon,GAB,2021,85.46
Gambia,GMB,2000,36.81773
Gambia,GMB,2013,41.95005
Gambia,GMB,2015,50.77797
Gambia,GMB,2021,58.06
Georgia,GEO,2002,99.65235
Georgia,GEO,2014,99.58619
Georgia,GEO,2017,99.36426
Georgia,GEO,2019,99.55844
Ghana,GHA,2000,57.89747
Ghana,GHA,2010,71.49707
Ghana,GHA,2018,79.03964
Ghana,GHA,2020,80.38
Greece,GRC,1981,90.51232
Greece,GRC,1991,92.61045
Greece,GRC,2001,95.99436
Greece,GRC,2005,93.04431
Greece,GRC,2007,93.93155
Greece,GRC,2009,93.90511
Greece,GRC,2011,97.36874
Greece,GRC,2018,97.93595
Grenada,GRD,1970,97.79447
Grenada,GRD,1980,98.4
Grenada,GRD,1984,98.6
Grenada,GRD,1994,98.6
Grenada,GRD,2004,98.6
Grenada,GRD,2014,98.6
Guam,GUM,1980,96.42065
Guam,GUM,1990,99.36915
Guam,GUM,2000,99.56
Guatemala,GTM,1994,64.21164
Guatemala,GTM,2002,69.10173
Guatemala,GTM,2012,78.26486
Guatemala,GTM,2013,77.03867
Guatemala,GTM,2014,81.2859
Guatemala,GTM,2018,80.81068
Guatemala,GTM,2021,83.35
Guinea,GIN,1996,20.55375
Guinea,GIN,2003,29.70402
Guinea,GIN,2010,25.30774
Guinea,GIN,2014,32.00384
Guinea,GIN,2018,39.61768
Guinea,GIN,2021,45.33
Guinea-Bissau,GNB,1979,19.95825
Guinea-Bissau,GNB,2000,41.35777
Guinea-Bissau,GNB,2014,45.58116
Guinea-Bissau,GNB,2021,52.89
Guyana,GUY,2009,84.99401
Guyana,GUY,2014,85.63973
Guyana,GUY,2021,88.85
Haiti,HTI,1982,34.73469
Haiti,HTI,2003,58.7439
Haiti,HTI,2006,48.68502
Haiti,HTI,2016,61.69135
Honduras,HND,2001,80.01103
Honduras,HND,2007,83.58899
Honduras,HND,2010,84.75536
Honduras,HND,2011,85.1233
Honduras,HND,2012,85.35555
Honduras,HND,2013,85.46442
Honduras,HND,2014,87.19753
Honduras,HND,2015,87.90683
Honduras,HND,2016,88.98748
Honduras,HND,2018,87.20524
Honduras,HND,2019,88.50743
Hungary,HUN,1980,98.85829
Hungary,HUN,1990,99.1
Hungary,HUN,2014,99.1
Hungary,HUN,2021,99.1
India,IND,1981,40.76359
India,IND,1991,48.22207
India,IND,2001,61.01456
India,IND,2006,62.75447
India,IND,2011,69.30256
India,IND,2018,74.37299
Indonesia,IDN,1980,67.31267
Indonesia,IDN,1990,81.51985
Indonesia,IDN,2004,90.38479
Indonesia,IDN,2006,91.98227
Indonesia,IDN,2008,92.1923
Indonesia,IDN,2009,92.5817
Indonesia,IDN,2011,92.81191
Indonesia,IDN,2014,95.11622
Indonesia,IDN,2015,95.21793
Indonesia,IDN,2016,95.37697
Indonesia,IDN,2018,95.65856
Indonesia,IDN,2020,95.99901
Iran,IRN,1976,36.5184
Iran,IRN,1986,52.31976
Iran,IRN,1991,65.5314
Iran,IRN,1996,73.06025
Iran,IRN,2002,77
Iran,IRN,2005,82.4412
Iran,IRN,2006,82.33132
Iran,IRN,2008,82.9623
Iran,IRN,2012,83.62599
Iran,IRN,2013,84.6268
Iran,IRN,2014,84.70524
Iran,IRN,2016,85.54425
Iran,IRN,2021,88.74
Iraq,IRQ,2000,74.0522
Iraq,IRQ,2012,77.2
Iraq,IRQ,2013,72.7
Iraq,IRQ,2014,82.2
Iraq,IRQ,2016,83.3
Iraq,IRQ,2017,85.6
Israel,ISR,1983,91.75141
Italy,ITA,1981,96.46054
Italy,ITA,2001,98.41662
Italy,ITA,2011,98.84828
Italy,ITA,2018,99.15576
Italy,ITA,2019,99.3491
Jamaica,JAM,1999,79.92012
Jamaica,JAM,2014,88.1
Jordan,JOR,1979,66.79681
Jordan,JOR,2003,89.89232
Jordan,JOR,2005,91.13075
Jordan,JOR,2007,92.19958
Jordan,JOR,2010,92.55104
Jordan,JOR,2011,95.90445
Jordan,JOR,2012,97.89032
Jordan,JOR,2018,98.22711
Jordan,JOR,2021,98.42
Kazakhstan,KAZ,1989,97.52938
Kazakhstan,KAZ,1999,99.51266
Kazakhstan,KAZ,2009,99.73241
Kazakhstan,KAZ,2010,99.78163
Kazakhstan,KAZ,2018,99.78163
Kazakhstan,KAZ,2020,99.8
Kenya,KEN,2000,82.22908
Kenya,KEN,2007,72.15703
Kenya,KEN,2014,78.73304
Kenya,KEN,2018,81.53497
Kenya,KEN,2021,82.62
Kuwait,KWT,1975,59.56439
Kuwait,KWT,1980,67.51766
Kuwait,KWT,1985,74.49087
Kuwait,KWT,1995,78.3955
Kuwait,KWT,2005,93.27446
Kuwait,KWT,2006,93.28212
Kuwait,KWT,2007,93.66419
Kuwait,KWT,2008,93.8983
Kuwait,KWT,2010,94.46901
Kuwait,KWT,2012,95.51317
